sepal_length_cm,class,sepal_width_cm,petal_length_cm,petal_width_cm
5.1,Iris-setosa,3.5,1.4,0.2
4.9,Iris-setosa,3,1.4,0.2
4.7,Iris-setosa,3.2,1.3,0.2
4.6,Iris-setosa,3.1,1.5,0.2
5,Iris-setosa,3.6,1.4,0.2
5.4,Iris-setosa,3.9,1.7,0.4
4.6,Iris-setosa,3.4,1.4,0.3
5,Iris-setosa,3.4,1.5,NA
4.4,Iris-setosa,2.9,1.4,NA
4.9,Iris-setosa,3.1,1.5,NA
5.4,Iris-setosa,3.7,1.5,NA
4.8,Iris-setosa,3.4,1.6,NA
4.8,Iris-setosa,3,1.4,0.1
5.7,Iris-setosa,3,1.1,0.1
5.8,Iris-setosa,4,1.2,0.2
5.7,Iris-setosa,4.4,1.5,0.4
5.4,Iris-setosa,3.9,1.3,0.4
5.1,Iris-setosa,3.5,1.4,0.3
5.7,Iris-setossa,3.8,1.7,0.3
5.1,Iris-setosa,3.8,1.5,0.3
5.4,Iris-setosa,3.4,1.7,0.2
5.1,Iris-setosa,3.7,1.5,0.4
4.6,Iris-setosa,3.6,1,0.2
5.1,Iris-setosa,3.3,1.7,0.5
4.8,Iris-setosa,3.4,1.9,0.2
5,Iris-setosa,3,1.6,0.2
5,Iris-setosa,3.4,1.6,0.4
5.2,Iris-setosa,3.5,1.5,0.2
5.2,Iris-setosa,3.4,1.4,0.2
4.7,Iris-setosa,3.2,1.6,0.2
4.8,Iris-setosa,3.1,1.6,0.2
5.4,Iris-setosa,3.4,1.5,0.4
5.2,Iris-setosa,4.1,1.5,0.1
5.5,Iris-setosa,4.2,1.4,0.2
4.9,Iris-setosa,3.1,1.5,0.1
5,Iris-setosa,3.2,1.2,0.2
5.5,Iris-setosa,3.5,1.3,0.2
4.9,Iris-setosa,3.1,1.5,0.1
4.4,Iris-setosa,3,1.3,0.2
5.1,Iris-setosa,3.4,1.5,0.2
5,Iris-setosa,3.5,1.3,0.3
4.5,Iris-setosa,2.3,1.3,0.3
4.4,Iris-setosa,3.2,1.3,0.2
5,Iris-setosa,3.5,1.6,0.6
5.1,Iris-setosa,3.8,1.9,0.4
4.8,Iris-setosa,3,1.4,0.3
5.1,Iris-setosa,3.8,1.6,0.2
4.6,Iris-setosa,3.2,1.4,0.2
5.3,Iris-setosa,3.7,1.5,0.2
5,Iris-setosa,3.3,1.4,0.2
7,Iris-versicolor,3.2,4.7,1.4
6.4,Iris-versicolor,3.2,4.5,1.5
6.9,Iris-versicolor,3.1,4.9,1.5
5.5,Iris-versicolor,2.3,4,1.3
6.5,Iris-versicolor,2.8,4.6,1.5
5.7,Iris-versicolor,2.8,4.5,1.3
6.3,Iris-versicolor,3.3,4.7,1.6
4.9,Iris-versicolor,2.4,3.3,1
6.6,Iris-versicolor,2.9,4.6,1.3
5.2,Iris-versicolor,2.7,3.9,1.4
5,Iris-versicolor,2,3.5,1
5.9,Iris-versicolor,3,4.2,1.5
6,Iris-versicolor,2.2,4,1
6.1,Iris-versicolor,2.9,4.7,1.4
5.6,Iris-versicolor,2.9,3.6,1.3
6.7,Iris-versicolor,3.1,4.4,1.4
5.6,Iris-versicolor,3,4.5,1.5
5.8,Iris-versicolor,2.7,4.1,1
6.2,Iris-versicolor,2.2,4.5,1.5
5.6,Iris-versicolor,2.5,3.9,1.1
5.9,Iris-versicolor,3.2,4.8,1.8
6.1,Iris-versicolor,2.8,4,1.3
6.3,Iris-versicolor,2.5,4.9,1.5
6.1,Iris-versicolor,2.8,4.7,1.2
6.4,Iris-versicolor,2.9,4.3,1.3
6.6,Iris-versicolor,3,4.4,1.4
6.8,Iris-versicolor,2.8,4.8,1.4
0.067,Iris-versicolor,3,5,1.7
0.06,Iris-versicolor,2.9,4.5,1.5
0.057,Iris-versicolor,2.6,3.5,1
0.055,Iris-versicolor,2.4,3.8,1.1
0.055,Iris-versicolor,2.4,3.7,1
5.8,Iris-versicolor,2.7,3.9,1.2
6,Iris-versicolor,2.8,5.1,1.6
5.4,Iris-versicolor,3,4.5,1.5
6,Iris-versicolor,3.4,4.5,1.6
6.7,Iris-versicolor,3.1,4.7,1.5
6.3,Iris-versicolor,2.3,4.4,1.3
5.6,Iris-versicolor,3,4.1,1.3
5.5,Iris-versicolor,2.5,4,1.3
5.5,Iris-versicolor,2.6,4.4,1.2
6.1,Iris-versicolor,3,4.6,1.4
5.8,Iris-versicolor,2.6,4,1.2
5,Iris-versicolor,2.3,3.3,1
5.6,Iris-versicolor,2.7,4.2,1.3
5.7,versicolor,3,4.2,1.2
5.7,versicolor,2.9,4.2,1.3
6.2,versicolor,2.9,4.3,1.3
5.1,versicolor,2.5,3,1.1
5.7,versicolor,2.8,4.1,1.3
6.3,Iris-virginica,3.3,6,2.5
5.8,Iris-virginica,2.7,5.1,1.9
7.1,Iris-virginica,3,5.9,2.1
6.3,Iris-virginica,2.9,5.6,1.8
6.5,Iris-virginica,3,5.8,2.2
7.6,Iris-virginica,3,6.6,2.1
4.9,Iris-virginica,2.5,4.5,1.7
7.3,Iris-virginica,2.9,6.3,1.8
6.7,Iris-virginica,2.5,5.8,1.8
7.2,Iris-virginica,3.6,6.1,2.5
6.5,Iris-virginica,3.2,5.1,2
6.4,Iris-virginica,2.7,5.3,1.9
6.8,Iris-virginica,3,5.5,2.1
5.7,Iris-virginica,2.5,5,2
5.8,Iris-virginica,2.8,5.1,2.4
6.4,Iris-virginica,3.2,5.3,2.3
6.5,Iris-virginica,3,5.5,1.8
7.7,Iris-virginica,3.8,6.7,2.2
7.7,Iris-virginica,2.6,6.9,2.3
6,Iris-virginica,2.2,5,1.5
6.9,Iris-virginica,3.2,5.7,2.3
5.6,Iris-virginica,2.8,4.9,2
5.6,Iris-virginica,2.8,6.7,2
6.3,Iris-virginica,2.7,4.9,1.8
6.7,Iris-virginica,3.3,5.7,2.1
7.2,Iris-virginica,3.2,6,1.8
6.2,Iris-virginica,2.8,4.8,1.8
6.1,Iris-virginica,3,4.9,1.8
6.4,Iris-virginica,2.8,5.6,2.1
7.2,Iris-virginica,3,5.8,1.6
7.4,Iris-virginica,2.8,6.1,1.9
7.9,Iris-virginica,3.8,6.4,2
6.4,Iris-virginica,2.8,5.6,2.2
6.3,Iris-virginica,2.8,5.1,1.5
6.1,Iris-virginica,2.6,5.6,1.4
7.7,Iris-virginica,3,6.1,2.3
6.3,Iris-virginica,3.4,5.6,2.4
6.4,Iris-virginica,3.1,5.5,1.8
6,Iris-virginica,3,4.8,1.8
6.9,Iris-virginica,3.1,5.4,2.1
6.7,Iris-virginica,3.1,5.6,2.4
6.9,Iris-virginica,3.1,5.1,2.3
5.8,Iris-virginica,2.7,5.1,1.9
6.8,Iris-virginica,3.2,5.9,2.3
6.7,Iris-virginica,3.3,5.7,2.5
6.7,Iris-virginica,3,5.2,2.3
6.3,Iris-virginica,2.5,5,2.3
6.5,Iris-virginica,3,5.2,2
6.2,Iris-virginica,3.4,5.4,2.3
5.9,Iris-virginica,3,5.1,1.8